name,company,client,location,coords,title,role,tags,year,description,category
Model Toolkit & Enterprise Modeling Platform (MVP),Wade Trim,Wade Trim,"Pittsburgh, PA",,Professional Engineer,"Creator, Strategic Lead, Product Owner",AI; Data Ingestion; Digital Delivery; Node-RED; Product Roadmap; QA; UI/UX; Dashboard; Calibration,2024,"Originated and led development of an enterprise platform to unify modeling workflows, tools, and data processes in a single AI-enabled environment; defined vision/roadmap/requirements through workshops and user research; worked with external developers on MVP architecture/specs, ingestion concepts, UI/UX mockups, workflow diagrams, and sprint/backlog/QA; integrated capabilities such as flow data QA/QC, ingestion/normalization, event detection, rainfall processing, and calibration dashboards",
Wade Trim GO! SharePoint/M365 Digital Delivery Platform Support,Wade Trim,Wade Trim,"Pittsburgh, PA",,Professional Engineer,"Contributor, Technical Advisor",Analytics; Client Portals; Dashboards; GIS Content; M365; SharePoint; Dashboard,2023,"Supported expansion and client adoption of a SharePoint/M365-based digital delivery platform; advised on content organization, client use patterns, and feature alignment; coordinated with internal teams to integrate project data, dashboards, map updates, and workflows into client sites; supported onboarding and analytics reviews",
Autocalibrator (WACK) & SWMM Calibration Automation Toolkit,Wade Trim,Wade Trim,"Pittsburgh, PA",,Professional Engineer,"Technical Advisor/ strategic Lead, Product Owner",Calibration; Cloud Workflows; GA; Optimization; Python; Reinforcement Learning; RMSE; SWMM; TPE,2022,"Led development, testing, and deployment of an autocalibration toolkit for SWMM-based models to automate calibration workflows; coordinated with internal SMEs and external partners to evaluate algorithms and cloud-based optimization methods; iterated on parameter normalization, uncertainty handling, multi-event scoring, calibration metrics, and visualization; supported applications for multiple utilities and delivered presentations, documentation, and trainings",
Resiliency Analysis,Wade Trim,City of St. Petersburg,"St. Petersburg, FL",-82.6401; 27.7676,Professional Engineer,Task Lead,Hydraulics; LOS; Resiliency,2022,Level of Service and Resiliency analysis for municipal water systems.,
Comprehensive Plan,KLH Engineers,Washington-East Washington Joint Sewer Authority,"Washington, PA",,Senior Project Engineer,,ArcGIS Pro; InfoSWMM; SSOAP; SWMM; Pump Station,2021,Work with Authority to determine site locations for 10 flow meters and 3 raingages to be used in a SWMM model of the Authority's main interceptors and several key pump stations and syphons. Worked on but did not complete project due to change in job.,Hydrologic & Hydraulic Modeling
Hydraulic Model Modernization,Wade Trim,Cleveland Water Department,"Cleveland, OH",-81.6944; 41.4993,Professional Engineer,"Technical Advisor, Modeling Engineer",Documentation; InfoWater Pro; SOP; Staff Training; Hydraulics,2021,"Embedded onsite to document distribution modeling practices and SOPs during staffing transitions. Embedded onsite to capture institutional knowledge for the departmentâ€™s distribution model, processes, and workflows; compiled recommendations and documentation to guide ongoing model use and development",
Hydraulic Model Report,Wade Trim,Cleveland Water Department,"Cleveland, OH",-81.6944; 41.4993,Professional Engineer,Task Lead,Water Distribution; Hydraulics,2021,Embedded onsite at Cleveland Water Department to document current water distribution modeling practices and advice on future steps to take during a staffing transition. Compiled a report on Standard Operating Procedures and modernization recommendations.,Hydrologic & Hydraulic Modeling
Laurel Run PMF Study,KLH Engineers,St. Mary's Water Authority,"St. Marys, PA",,Senior Project Engineer,,ArcGIS Pro; HEC-HMS,2021,"Development of an HEC-HMS model to determine Probable Maximum Flood elevation for the Laurel Run Reservoir located in St. Mary's, PA.",Hydrologic & Hydraulic Modeling
MSDGC Model Calibration and Model Reviews,KLH Engineers,MSDGC,"Cincinnati, OH",-84.5120; 39.1031,Professional Engineer,Developer,SWMM; Python; Sanitary Sewer; Calibration,2021,"Worked on SWMM model calibration for the Metropolitan Sewer District of Cincinnati, calibrating several separate sanitary flow meter locations. Also revised and redistributed tributary acreage throughout the model area by developing a custom python script to allocate area along interceptor lines for RDII. Completed model reviews for other consultant model submissions and drafted a final calibration report for the Wade Trim portions of the model calibration effort.",Hydrologic & Hydraulic Modeling
PWSA Wet Weather Program Manager,Wade Trim,Pittsburgh Water and Sewer Authority,"Pittsburgh, PA",-79.9959; 40.4406,Professional Engineer,Task Lead,Flow Monitoring; GIS Tools; InfoAsset Manager; LiDAR; QA/QC; SWMM; Dashboard; GIS; Calibration,2021,"Lead engineer for a $17M contract managing a 100-meter flow monitor plan and SWMM model expansion. Task lead overseeing extensive field data collection and integration into SWMM model updates; developed GIS tools supporting flow/asset data collection, InfoAsset Manager integration, and project dashboards; managed a ~130-meter flow monitoring plan including data review, subcontractor coordination, QA/QC, and deliverables; supported LiDAR scanning of diversion structures to capture weir/pipe geometry and provide client-facing access to scan data Key team member on $17 million Wet Weather Program Manager contract including contribution to the winning proposal development. The multi-year programs consists of data management and analysis, data collection, a 100 meter flow monitor plan and SWMM model expansion and calibration. Lead engineer in developing and managing the flow monitoring plan including overseeing multiple subconsultants, QAQC review work and management of quality deliverables.",Hydrologic & Hydraulic Modeling
Python Out File Reader Script,Wade Trim,Wade Trim,"Pittsburgh, PA",,Professional Engineer,Developer,Python; Calibration,2021,"Developed a python tool to interface with model .out files and pull requested .tsf files. Later improved this code and had it integrated into the ""Autocalibration"" tool being developed on behalf of Wade Trim.",Coding
Saddle Creek Groundwater Monitoring Dashboard,Wade Trim,City of Omaha,"Omaha, NE",-95.9345; 41.2565,Professional Engineer,Developer,Data Science; IoT; Power BI; Dashboard,2021,Built a Power BI dashboard to ingest groundwater well readings from IoT sensors.,Tool Development
Zoning Violation Program,KLH Engineers,Township of South Strabane,"South Strabane Township, PA",,Senior Project Engineer,Task Lead,ArcGIS Dashboards; ArcGIS Online; ArcGIS Pro; Survey123; ArcGIS; Dashboard; GIS,2021,Developed Survey123 Form with data validation and dependencies along with a Dashboard and desktop web map for office management. Process allowed Zoning Officer and staff to create violation reports which were stored in an ArcGIS Online feature service. This was consumed by Dashboards and web maps to give ingith to office staff and allow updates to violations. Individual violation letters were automatically generated along with summary reports for board meetings.,GIS
GGSA GIS System Map and Survey,KLH Engineers,Greater Greensburg Sewage Authority,"Greensburg, PA",,Senior Project Engineer,Developer,ArcGIS Collector; ArcGIS Dashboards; ArcGIS Online; ArcGIS Pro; Trimble R2; ArcGIS; Dashboard; GIS; GNSS,2020,"Georeferencing old paper maps into a GIS system map, configuration of GIS databases for using in ArcGIS Online. Lead the acquisition of new equipment to utilize ArcGIS Online and the Collector app for high accuracy GNSS survey. Developed Dashboard to track survey crews progress in real-time.",GIS
Hampton-Shaler Water Model,KLH Engineers,Hampton,"Shaler Township, PA",,Senior Project Engineer,Task Lead,ArcGIS Pro; InfoWater Pro; GIS; Water Distribution; Calibration,2020,"Developed the Authority's first modern water distribution model in InfoWater Pro from available data including GIS, record drawings, staff knowledge and field work. Model consisted of 12 tanks, 4 booster stations a WTP and many interconnects. Planned system hydrant testing program to be used for pipe roughness calibration. Worked with operators and other staff to find and fix data gaps and develop model controls. The model was then utilized for preliminary planning of new distribution mains and booster stations as well as the evaluation of valve settings and tank performance.",Hydrologic & Hydraulic Modeling
Moon Water Model,KLH Engineers,Moon Township Municipal Authority,"Moon Township, PA",,Senior Project Engineer,Developer,ArcGIS Pro; InfoWater Pro; GIS,2020,"Using a legacy model, GIS data and other records, built and calibrated a InfoWater Pro model from the ground up for use in future maintenance and upgrade plans. Model consisted of 6 tanks and a WTP. Established a 1:1 model to GIS update path that kept changes to the model and the GIS in sync.",Hydrologic & Hydraulic Modeling
Salt Run Dam PMF Study,KLH Engineers,Emporium Water Company,"Emporium, PA",,Senior Project Engineer,,ArcGIS Pro; HEC-HMS,2020,"Development of an HEC-HMS model to determine Probable Maximum Flood elevation for the Salt Run Reservoir located in Emporium, PA.",Hydrologic & Hydraulic Modeling
Smith Township GIS Mapping Program,KLH Engineers,Smith Township,Smith Township,,Senior Project Engineer,,ArcGIS Collector; ArcGIS Dashboards; ArcGIS Field Maps; ArcGIS Online; ArcGIS Pro; Quick Capture; Trimble R2; ArcGIS; GIS; Stormwater; GNSS,2020,"Assisted Smith Township in the selection and purchase of a Trimble R2 GNSS receiver and tablet. Setup ArcGIS Online and feature services to collect and store stormwater, signage, and utility pole locations and information that were owned by the Township. Conducted training and assisted in initial collection.",GIS
South Strabane Gas Well Mapping,KLH Engineers,Township of South Strabane,South Strabane,,Senior Project Engineer,Developer,ArcGIS Online; ArcGIS Pro; ArcGIS Story Maps,2020,Utilized publically available permits for gas wells in and around the township to map all gas well heads and laterals in and around the township. This information was used to communicate to the public and discuss changes to ordinances. An ESRI story map was developed to best communicate the findings in an organized manner.,GIS
Dravosburg Combined Sewer Systems Hydraulic Modeling,KLH Engineers,Pennsylvania American Water Company,"Dravosburg, PA",,Senior Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; InfoWorks ICM SE; SSOAP; GIS; Flow Monitoring; Hydraulics,2019,H&H modeling of the Dravosburg Combined system utilizing flow monitor data and provided GIS database. Worked on but did not complete project due to change in job.,Hydrologic & Hydraulic Modeling
Duquesne Combined Sewer Systems Hydraulic Modeling,KLH Engineers,Pennsylvania American Water Company,"Duquesne, PA",,Senior Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; InfoWorks ICM SE; SSOAP; GIS; Flow Monitoring; Hydraulics,2019,H&H modeling of the Duquesne Combined system utilizing flow monitor data and provided GIS database. Worked on but did not complete project due to change in job.,Hydrologic & Hydraulic Modeling
Interceptor System Hydraulic Modeling,KLH Engineers,Canonsburg,"Canonsburg, PA",,Senior Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; SSOAP; Pump Station; Hydraulics,2019,Completed H&H modeling of the Chartiers and Brush Run Interceptor and accompanying pump stations. Flow data from 20 meters was used to calibrate the model and divide sewer flows by community.,Hydrologic & Hydraulic Modeling
Mansfield Road Storm Sewer Improvements,KLH Engineers,Elizabeth Township,Elizabeth Township,,Senior Project Engineer,,Bentley FlowMaster; HEC-RAS,2019,Completed H&H report for the enclosure of a stream along Mansfield Road and the effect on neighboring properties and stream conditions.,Hydrologic & Hydraulic Modeling
McKeesport Combined Sewer Systems Hydraulic Modeling,KLH Engineers,Pennsylvania American Water Company,"McKeesport, PA",,Senior Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; InfoWorks ICM SE; SSOAP; GIS; Flow Monitoring; Hydraulics,2019,H&H modeling of the McKeesport Combined system utilizing flow monitor data and provided GIS database. Worked on but did not complete project due to change in job.,Hydrologic & Hydraulic Modeling
System Mapping Updates,KLH Engineers,Findlay Township Municipal Authority ArcGIS Online Migration,Findlay Township Municipal Authority ArcGIS Online Migration,,Senior Project Engineer,,ArcGIS Collector; ArcGIS Dashboards; ArcGIS Online; ArcGIS Pro; ArcGIS; GIS,2019,Update of System sewer and water mapping. Migration to ArcGIS Online.,GIS
System Mapping and GPS Collection Program,KLH Engineers,Economy Borough Municipal Authority,"Economy Borough, PA",,Senior Project Engineer,Developer,ArcGIS Collector; ArcGIS Online; ArcGIS Pro; Trimble R2; ArcGIS; Dashboard; GIS; GPS,2019,"Migrated GIS data form GeoPlan to ArcGIS Online. Development of a GPS collection program using ArcGIS Online Dashboards, and the Collector app to enable centimeter accuracy data collection of system manholes.",GIS
Vita Dump Site,KLH Engineers,Hampton Township,"Hampton, PA",,Senior Project Engineer,,Bentley FlowMaster; HEC-RAS,2019,H&H study of waste disposal site to determine H&H effect on streams and neighboring properties.,Hydrologic & Hydraulic Modeling
Water System Master Plan Update,KLH Engineers,Municipal Authority of the Township of Richland,Pennsylvania,,Senior Project Engineer,Task Lead,ArcGIS Desktop; ArcGIS Pro; Hydrant Testing; InfoWater; InfoWater Pro; LTS; Calibration,2019,Converted an existing WaterCAD model to an InfoWater model including updating and adding new areas of the system. System comprised of 2 tanks and a booster station and several interconnects. Planned and performed hydrant testing and applied results to model calibration. Compiled a Master Plan summarizing system deficiencies using model extended period runs and hydrant fire flow testing.,Hydrologic & Hydraulic Modeling
Zoning Map,KLH Engineers,Township of South Strabane,South Strabane,,Senior Project Engineer,Developer,ArcGIS Dashboards; ArcGIS Online; ArcGIS Pro; Survey123; ArcGIS; GIS,2019,Creation of zoning map using old paper maps. Migration to ArcGIS Online for publishing of public facing zoning application. Also created a Survey123 Zoning Violation tool for the Township to replace existing paper processes.,GIS
Zoning Map Updates,KLH Engineers,Rostraver Township,Rostraver Township,,Senior Project Engineer,Contributor,ArcGIS Pro,2019,Creation of a Zoning map using a decades old paper map and updating by review or ordinances.,GIS
Admin and Personnel Building Stormwater Design And Permitting,KLH Engineers,North Huntingdon Township Municipal Authority,"North Huntingdon, PA",,Senior Project Engineer,Design Engineer,ArcGIS Desktop; Bioretention; Civil 3D; Civil3D; E&S; HydroCAD; NPDES; PCSM; Stormwater,2018,"Performed full stormwater management design and permitting for a new Admin & Personnel Building, including H&H analysis, two bioretention basins, and a tributary swale; prepared calculations/documentation to satisfy NPDES peak rate and volume control; coordinated with site architect and engineers to integrate stormwater infrastructure with building plans Working with the building design team, I completed H&H calculations and design of two bioretention areas and tributary swale to treat stormwater runoff and meet pear rate and volume requirement for the NPDES permit which I completed.","Hydrologic & Hydraulic Modeling, Permitting"
CSO Regulator No. 1 Evaluation and Replacement Concept Design,KLH Engineers,Glassport Borough,"Glassport, PA",,Senior Project Engineer,Modeling Engineer,ArcGIS Desktop; CSO; Hydraulics; InfoSWMM; SSOAP; SWMM,2018,"Completed H&H modeling and evaluation following failure of CSO Regulator No. 1; built a detailed SWMM model of the interconnected sewer/regulator system; prepared a preliminary replacement regulator/outfall concept including proposed elevations, weir sizing, and hydraulic checks After a failure of a CSO structure, an H&H study was completed to evaluate options for a permanent design of a new regulator and outfall structure. This model had multiple interconnected systems and regulators that had to be modeled.",Hydrologic & Hydraulic Modeling
Corrective Action Plan Engineering Evaluation,KLH Engineers,Prospect Borough,"Prospect, PA",,Senior Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; Flow Monitoring; Pump Station,2018,"Calibrated H&H Model consisting of 5 flow monitors, pump station, forcemain, and interceptor to assist in the development of a Corrective Action Plan",Hydrologic & Hydraulic Modeling
Glannons Pump Station,KLH Engineers,Hampton Township,"Hampton Township, PA",,Senior Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; Pump Station,2018,Assisted the design team by creating a calibrated H&H model to determine design flows for a new pump station,Hydrologic & Hydraulic Modeling
Peebles Road Pump Station,KLH Engineers,McCandless Township Sanitary Authority,McCandless Township Sanitary Authority,,Senior Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; Pump Station,2018,Assisted the design team by creating a calibrated H&H model to determine design flows for a new pump station,Hydrologic & Hydraulic Modeling
Post-Construction Sewer System Model,KLH Engineers,Kiski Valley Water Pollution Control Authority,"Leechburg, PA",,Senior Project Engineer,Lead Engineer,ArcGIS Desktop; Flow Monitoring; InfoSWMM; PaDEP; QA/QC; Rate Setting; SSOAP; SWMM; LTS; Hydraulics; Hydrology,2018,"To come into compliance with PA DEP, KVWPCA communities completed sewer separation projects and plant upgrades. To establish new rates and determine flow values, I completed a Post Construction H&H model using 6 months of flow data from 75 flow meters. The model was modified and calibrated to best model the current flow conditions which were used to establish new rates. Developed and calibrated a post-construction SWMM model used to assess compliance and establish user rates; implemented model updates and calibrated hydrology/hydraulics using ~6 months of data from 75 flow monitors; compiled results and managed post-processing, QA/QC, and flow-monitor data management",Hydrologic & Hydraulic Modeling
System Map,KLH Engineers,Rostraver Township Sewage Authority,"Rostraver Township, PA",,Senior Project Engineer,Developer,ArcGIS Online; ArcGIS Pro; ArcGIS; GIS,2018,Creation of System Map utilizing As-Built drawings. Migration to ArcGIS Online platform,GIS
System Mapping and Collection Program,KLH Engineers,Municipal Authority of the Township of Richland,"Richland, PA",,Senior Project Engineer,,ArcGIS Collector; ArcGIS Desktop; ArcGIS Online; TerraFlex; Trimble R2; ArcGIS; GIS,2018,Update of System map. Worked with Precision Laser to setup a collection program using Terraflex and an R2 unit. Eventual transition to Collector app and ArcGIS Online.,GIS
System Masterplan,KLH Engineers,Washington,"Washington, PA",,Senior Project Engineer,Developer,ArcGIS Collector; ArcGIS Dashboards; ArcGIS Online; ArcGIS Pro; Trimble TDC150; GNSS,2018,Built system map for WEWJA using hundreds of As-built drawings. Combined data into an online webmap for use by the Authority from any device. Assisted in selection and purchase of GNSS equipment and setup and trained staff for field data collection.,GIS
Water Model and Calibration,KLH Engineers,Findlay Township Municipal Authority,"Findlay Township, PA",,Senior Project Engineer,Developer,ArcGIS Desktop; Hydrant Testing; InfoWater; InfoWater Pro; GIS; Calibration,2018,"Used existing GIS and As-built data to build and calibrate a water model for use by the Authority in design and planning. InfoWater Pro model consisted of 2 tanks, 2 booster stations, and several interconnects. Performed Hydrant flow testing to obtain pressure calibration points and pipe roughness values. Used the calibrated model in planning for system expansion and to support bottling operations and significant commercial development. Completed fire flow simulations and alternatives analysis for new tanks and booster pumps.",Hydrologic & Hydraulic Modeling
Water System Hydraulic Model Development,KLH Engineers,Hampton-Shaler Water Authority,"Shaler Township, PA",,Senior Project Engineer,Engineer,Calibration; GIS Compilation; Hydrant Testing; Hydraulic Modeling; GIS; LTS; Hydraulics; Optimization,2018,"Built a new hydraulic model from GIS data, as-builts, and operations info (multiple tank sites, booster stations, treatment plant, and interconnects); planned hydrant flow testing and completed calibration despite limited testing capacity to support capital planning and optimization",Hydrologic & Hydraulic Modeling
Water System Mapbooks,KLH Engineers,Borough of Sewickley Water Authority,Sewickley Water Authority,,Senior Project Engineer,Developer,ArcGIS Desktop; GIS; LTS,2018,Updated GIS database using As-builts and constructed truck maps.,GIS
ALCOSAN GROW Grants (Rounds 1&3) & GI and Sewer Separation Concepts,KLH Engineers,Borough of Carnegie,"Carnegie, PA",,Senior Project Engineer,"Project Support, Grant Lead",ArcGIS Desktop; ArcMap; Grants; Green Infrastructure; InfoSWMM; Sewer Separation; Stormwater; Hydraulics,2017,"Secured over $1.2M in ALCOSAN GROW grant funding for green infrastructure and sewer separation projects; provided preliminary stormwater designs including major separation concepts (Broadway Ave, Cubbage Ave); managed grant applications, reimbursement documentation, and supporting hydraulic analysis to meet ALCOSAN requirements For the second round of ALCOSAN GROW grants, I successfully submitted reimbursement and new separation projects for over $1 million. Successfully submitted GROW grant applications for green source reduction projects for Carnegie Borough totaling nearly $200,000.","Hydrologic & Hydraulic Modeling, Grant Application, GIS"
CSO Program Phase 1 Design,KLH Engineers,Authority of the Borough of Charleroi,"Charleroi, PA",,Senior Project Engineer,,AutoCAD; CSO; Pump Station,2017,I completed E&S and PCSM design and permitting for two pump stations and accompanying forcemains as part of the Phase 1 CSO program for ABC.,"Erosion & Sedimentation Control, Permitting, Stormwater Design"
Camp Meeting Road Pump Station Site Design and Permitting,KLH Engineers,Findlay Township Municipal Authority,"Findlay Township, PA",,Senior Project Engineer,Lead Designer,AutoCAD; Civil 3D; E&S; HydroCAD; PCSM; Permitting; Stormwater; Sanitary Sewer; Pump Station,2017,"Led stormwater site plan design and permitting for a new sanitary sewer pump station; developed E&S and PCSM plans addressing grading, drainage, and regulatory compliance; coordinated submissions and approvals with regulatory agencies Worked on E&S and PCSM design and permitting for a new pump station and sewer system for FTMA.","Erosion & Sedimentation Control, Permitting, Stormwater Design"
MS4 Programs,KLH Engineers,Various Clients,"Pittsburgh, PA",,Senior Project Engineer,,ArcGIS Desktop,2017,I completed new MS4 permits for several clients including development of MS4 mapping and Pollution Reduction Plans and helped to establish MS4 programs.,"Permitting, GIS"
Wilshire Drive Culvert Replacement,Civil & Environmental Consultants,North Huntingdon Township,North Huntingdon Township,,Senior Project Engineer,,AutoCAD,2017,I completed design and permitting for a small culvert replacement for NHTMA.,"Erosion & Sedimentation Control, Permitting, Stormwater Design"
CEC Go Development,Civil & Environmental Consultants,"Civil & Environmental Consultants, Inc.","Rosslyn Farms, PA",,Project Consultant,Developer,ArcGIS Desktop; ArcGIS Online; Augment; Infraworks; Sketchup; Dashboard; GIS,2016,"Working with a small team, I helped to develop the technical aspects of a new initiative to provide clients with new tools to evaluate sites and concepts. Using available applications, we streamlined providing online GIS maps, evaluated 3D modeling and presentation tools, and conceptualized project Dashboards that will provide one-point access to clients.","GIS, Land Development, Tool Development"
Forbes Avenue Apartments,Civil & Environmental Consultants,Campus Advantage,"Oakland, PA",,Project Consultant,,AutoCAD,2016,Coordinating Utilities and Permitting such as Tap-In and Tap-Termination plans.,"Land Development, Permitting"
Power Plant Siting Certificate,Civil & Environmental Consultants,West Virginia Siting Certificate for new Power Plant,"Folansbee, WV",,Project Consultant,,ArcGIS Desktop; AutoCAD; Infraworks; Microsoft Project; GIS,2016,"As a team member on a project to prepare a sitting certificate for a new power plant I aggregated GIS data and prepared numerous exhibits to show surrounding impact, helped construct a 3D model of the plant and analyzed viewshed impacts and helped prepare various other exhibits.","Land Development, Permitting"
Company Intranet,KLH Engineers,"KLH Engineers, Inc.","Robinson Township, PA",,Project Engineer,Developer,ArcGIS Online; Google Drive; Google Sites; Javascript; GIS,2015,"KLH Engineers had been exploring the idea of an intranet to facilitate some basic business information and practices. After many meetings discussing Enterprise options, I build a simple yet functional intranet using a Google Site. Employees could see a company calendar, open new Order Entries, find project numbers, contact info, and client information, and use other tools like GIS maps and a company directory to be productive.","Coding, Tool Development"
Emerald on Centre,Civil & Environmental Consultants,Oxford Development Company,"Shadyside, PA",,Project Consultant,,AutoCAD,2015,"Coordinating Utilities, Permitting such as Tap-In and Tap-Termination plans, Sewage Facilities Planning Module, and Department of Public Works approval drawings.","Land Development, Permitting"
GIS Hydrology Intersection Tool,Civil & Environmental Consultants,"Civil & Environmental Consultants, Inc.","Rosslyn Farms, PA",,Project Consultant,Developer,ArcGIS Desktop; Python; ArcGIS; GIS; Hydrology,2015,Automated the process of determining hydrologic routing landcover areas. The tool is written in Python and can be used within ArcGIS to intersect several layers and produce a table of areas that can be used in hydrologic calculations. This tool can turn several hours or days of work into just a few minutes and it keeps calculations organized and repeatable for frequently changing designs,"GIS, Coding, Tool Development"
Greenville Stormwater GIS,KLH Engineers,Greenville Sanitary Authority,"Greenville, PA",,Project Engineer,Task Lead,ArcGIS Desktop; GIS; Stormwater; Sanitary Sewer; GPS,2015,"Greenville Sanitary Authority wanted a complete catalog of their storm sewer infrastructure. To help deliver this, I generated mapbooks for their municipality that our survey crews used to GPS all catch basins, manholes and sewers. After the survey was complete, I assembled the data into a database that could be used by the Authority to track the status of their infrastructure, such as which catch basins needed to be cleaned. The deliverable was a set of detailed maps showing all relevant elevations and sizes of their storm infrastructure.",GIS
Oakland Avenue Commercial Development,KLH Engineers,"Indy Apple, LLC","Indiana, PA",,Project Consultant,Task Lead,AutoCAD; Civil3D; Hydraflow; HydroCAD; Stormwater,2015,"As part of land development for Indy-Apple, LLC , I worked with project managers and other team members to layout a site plan for two restaurants and a hotel along Oakland Avenue. I assisted in drafting a land development package, running stormwater calculations, submitting various permitting packages including NPDES and I coordinated with utility companies and other permitting entities.","Land Development, Grading, Erosion & Sedimentation Control, Permitting, Stormwater Design"
Order Entry System,KLH Engineers,"KLH Engineers, Inc.","Robinson Township, PA",,Project Engineer,Task Lead,Google Drive; Google Forms; Javascript,2015,"The existing Order Entry system to start new projects consisted of paper forms being filled out by hand and delivered to various personnel by hand or via email with multiple copies. To organize this process I utilized Google Forms and Javascript to build an online Order Entry system. New jobs could be opened, assigned project numbers and engineers from any device with an internet connect. Emails and PDF were automatically generated and a master tracking spreadsheet was appended so that all open project could be reviewed in monthly meetings.","Coding, Tool Development"
The Bible Chapel,Civil & Environmental Consultants,The Bible Chapel,"Robinson Township, PA",,Project Consultant,,AutoCAD; Civil3D,2015,"As part of The Bible Chapel 's new worship center project, I assisted in site layout and preliminary grading of the site. I also helped prepare the Land Development submission, coordinated with utility companies, drafted the Highway Occupancy Permits and Sewage Facilities Planning Module.","Land Development, Grading, Erosion & Sedimentation Control, Permitting"
The Empire,Civil & Environmental Consultants,Park7 Group,"North Oakland, PA",,Project Consultant,,ArcGIS Desktop; AutoCAD; HydroCAD; Stormwater,2015,"This project for the Park7 Group consisted of civil site work for a new 17-story apartment building. I worked with utility companies, the architect and general contractor to determine site utility connections and prepared a stormwater design to capture runoff. I also helped to prepare various permit submissions and communicated weekly with the design team.","Land Development, Permitting, Stormwater Design"
